site	siteno	forest_edge	det1	det2	det3	det4	det5	det6	date1	date2	date3	date4	date5	date6	h1	h2	h3	h4	h5	h6
AndilPass1	1	1	0	0	0	0	0	NA	22	29	43	46	50	NA	330	330	420	230	415	NA
AndilPass2	2	1	0	0	0	0	0	NA	22	29	43	46	50	NA	330	330	425	230	415	NA
AndilPass3	3	1	0	0	0	0	0	NA	22	29	43	46	50	NA	330	330	430	230	415	NA
Buschlenwestrand	4	0	0	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	340	NA	NA	NA	NA	NA
FluehbergS	5	0	0	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	250	NA	NA	NA	NA	NA
HackholzpolterKugelfangKL	6	0	0	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	210	NA	NA	NA	NA	NA
HasenschellDoppelE	7	0	3	0	0	0	1	1	22	29	31	32	43	46	360	360	400	440	440	305
HasenschellDoppelW	8	0	4	0	3	0	0	2	22	29	31	32	43	46	375	375	390	450	450	315
HasenschellFels	9	0	0	1	4	1	1	2	22	29	31	32	43	46	390	390	370	455	455	330
HasenschellSoyhieresNaturbaum	10	0	1	NA	NA	NA	NA	NA	46	NA	NA	NA	NA	NA	300	NA	NA	NA	NA	NA
KiffisWest	11	1	0	NA	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	420	NA	NA	NA	NA	NA
KiffisWolschwilllerStrasseE	12	1	0	0	NA	NA	NA	NA	25	31	NA	NA	NA	NA	285	435	NA	NA	NA	NA
KiffisWolschwilllerStrasseW	13	1	0	0	NA	NA	NA	NA	25	31	NA	NA	NA	NA	280	430	NA	NA	NA	NA
LaClome	14	0	1	8	2	1	3	NA	22	29	32	43	46	NA	350	350	430	435	270	NA
LaGrosseFin	15	1	0	0	0	0	1	0	22	32	33	43	46	50	450	400	405	480	210	405
LiesbergChlummenberg	16	0	1	NA	NA	NA	NA	NA	46	NA	NA	NA	NA	NA	430	NA	NA	NA	NA	NA
MolzmattHasenboden	17	1	0	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	270	NA	NA	NA	NA	NA
MOVCombeWF	18	0	0	0	NA	NA	NA	NA	22	29	NA	NA	NA	NA	420	420	NA	NA	NA	NA
MOVoben	19	1	0	0	NA	NA	NA	NA	22	29	NA	NA	NA	NA	405	435	NA	NA	NA	NA
MovelierHasenGeroellhalde	20	0	0	0	NA	NA	NA	NA	31	46	NA	NA	NA	NA	380	345	NA	NA	NA	NA
ReselledeMovelier	21	1	0	0	0	NA	NA	NA	29	31	43	NA	NA	NA	400	360	460	NA	NA	NA
ReselledeSoyhieresWegunten	22	1	0	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	345	NA	NA	NA	NA	NA
RochesFoersterhütte	23	1	5	NA	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	360	NA	NA	NA	NA	NA
RochesHolzdepotoben	24	0	30	4	NA	NA	NA	NA	21	26	NA	NA	NA	NA	330	480	NA	NA	NA	NA
SterStaemmeChruezbodenkurveKL	25	0	0	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	230	NA	NA	NA	NA	NA
StereKLDorfwestrand	26	0	0	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	220	NA	NA	NA	NA	NA
UnterHoellberg	27	1	1	0	0	0	0	0	29	32	33	43	46	50	300	510	400	490	200	395
																				
																				
																				
																				
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
